#ID	MaleMID	FemaleMID	NAME	ColourID
3231	175	176	chic swimsuit [red] {3231}	5
3232	175	176	chic swimsuit [green] {3232}	6
3233	175	176	chic swimsuit [yellow] {3233}	7
3234	175	176	chic swimsuit [blue] {3234}	8
3975	183	182	flashy formalwear {3975}	0
3982	181	182	flashy formalwear [white] {3982}	1
3983	181	182	flashy formalwear [black] {3983}	2
3984	181	182	flashy formalwear [purple] {3984}	3
3985	181	182	flashy formalwear [pink] {3985}	4
3986	181	182	flashy formalwear [red] {3986}	5
3987	181	182	flashy formalwear [green] {3987}	6
3988	181	182	flashy formalwear [yellow] {3988}	7
3989	181	182	flashy formalwear [blue] {3989}	8
