#ID	color
134	#fffefc
135	#ebe7e4
136	#d8d1cd
137	#c5bcb6
138	#b2a69d
139	#a08f84
140	#8d786c
141	#756358
142	#fefefc
143	#ebe9e4
144	#d8d4cd
145	#c5c1b6
146	#b2ae9d
147	#a09a84
148	#8d846c
149	#756d58
150	#fdfcff
151	#ebe4e7
152	#d8cdd0
153	#c5b6ba
154	#b29da3
155	#a0848c
156	#8d6c75
157	#755860
158	#008000
159	#d4dbca
160	#383b3d
161	#693d80
162	#ff7595
163	#d51622
164	#55a43d
165	#ffcd2e
166	#2270ad
167	#cdcdcd
168	#000000
169	#160080
170	#ff8080
171	#d43540
172	#457c40
173	#ffcd80
174	#2e6ead
175	#cd7200
176	#000000
177	#000000
178	#000000
179	#000000
180	#000000
181	#80ffff
182	#ff9b3d
183	#1cff82
184	#a18758
185	#ffffff
186	#ffffff
187	#00c900
188	#ffeb00
189	#d01600
190	#ffffff
191	#c92eba
192	#ff3838
193	#00d1c9
194	#3d9bff
195	#c1f016
196	#006eff
197	#009cff
198	#ffffff
199	#ffffff
200	#000000
201	#920000
202	#1c0000
203	#380d0d
204	#6c4d00
205	#582a00
206	#80400d
207	#a11c4d
208	#a9490d
209	#00225f
210	#000000
211	#f0f0f0
212	#0000ff
213	#ff0000
214	#ffff00
215	#4dff58
216	#c98242
217	#b54dbf
218	#a1a1a1
219	#565656
220	#5f5f5f
221	#5f005f
222	#f0f0f0
223	#f6eca2
224	#f04545
225	#fcc600
226	#8f8f8f
227	#53f1f3
228	#2a1600
229	#5ff0b9
230	#97e3b9
231	#c1f016
232	#a6a6a6
233	#000000
234	#f83569
235	#55ddfd
236	#ffd400
237	#55ddfd
238	#f83569
239	#0d3891
240	#007fa4
241	#6e000d
242	#000000
243	#2671ae
244	#f38c0d
245	#ff6058
246	#a8cc0d
247	#f7b40d
248	#ffffff
249	#004d58
250	#0d3800
251	#2a9775
252	#ff6900
253	#bf8226
254	#8d6273
255	#b000c9
256	#ff3822
257	#ff0000
258	#63fa00
259	#c4a600
260	#006eff
261	#005b78
262	#222222
263	#c92231
264	#009cff
265	#f4be22
266	#a4c1c7
267	#b56c2a
268	#d01cce
269	#ffd800
270	#c1c1c1
271	#c5701c
272	#e4de85
273	#002687
274	#002687
275	#4dc540
276	#8d6300
277	#6c5140
278	#6c5140
279	#c4eb00
280	#5b7016
281	#5b7070
282	#77cfd0
283	#72c3c9
284	#bc2222
285	#c81c2e
286	#1c70ad
287	#6c5140
288	#2270ad
289	#96d216
290	#b62226
291	#425db6
292	#4d8755
293	#ff70ad
294	#4dac35
295	#2270ad
296	#ac402a
297	#228d3d
298	#354993
299	#6c5140
300	#c0ff10
301	#ffffff
302	#ffd010
303	#ff8000
304	#f38c0d
305	#ff2e9a
306	#cf8700
307	#000000
308	#7e7e7e
309	#fffbee
310	#4d1600
311	#970000
312	#730080
313	#b1008a
314	#007800
315	#00ba00
316	#fc9600
317	#e7d800
318	#000065
319	#0000b7
320	#feb976
321	#2ac2bf
322	#c8cbc7
323	#e2be2e
324	#56a11c
325	#f02a2a
326	#2a78a9
327	#63b1dd
328	#1c68dd
329	#78bda1
330	#807822
331	#803da5
332	#e05656
333	#b5220d
334	#b000c9
335	#35353b
336	#c92638
337	#222222
338	#f3eede
339	#fbf3e4
340	#95b9d5
341	#5fb1f2
342	#f2a9e7
343	#e969b9
344	#a1d988
345	#5fdd56
346	#a1cdbd
347	#68d9b1
348	#e7d380
349	#f0f0f0
350	#efefef
351	#f3eede
352	#c5350d
353	#c92638
354	#455fb7
355	#ab2a2e
356	#e4ca16
357	#a20d1c
358	#dd3840
359	#bd3526
360	#a22a2e
361	#b00d16
362	#ac1c2a
363	#d8384d
364	#ca3835
365	#383b32
366	#6c5140
367	#6c5140
368	#2270ad
369	#dc4726
370	#ffdf22
371	#c57eaf
372	#a7c5c1
373	#c1af95
374	#ff6900
375	#404547
376	#fa738a
377	#b51622
378	#2285ae
379	#fff5f5
380	#534d4d
381	#fa738a
382	#b51622
383	#efba38
384	#38382a
385	#ececec
386	#6e3238
387	#87222e
388	#324226
389	#abd387
390	#323d5f
391	#8dc9d8
392	#4d3249
393	#b573bf
394	#e2bf63
395	#ffd268
396	#e29c9a
397	#e29890
398	#ececd8
399	#ececd8
400	#000000
401	#000000
402	#000000
403	#000000
404	#000000
405	#000000
406	#000000
407	#000000
408	#000000
409	#000000
410	#000000
411	#000000
412	#000000
413	#000000
414	#000000
415	#000000
416	#000000
417	#000000
418	#000000
419	#000000
420	#000000
421	#000000
422	#000000
423	#000000
424	#000000
425	#000000
426	#000000
427	#000000
428	#000000
429	#000000
430	#000000
431	#000000
432	#000000
433	#000000
434	#000000
435	#000000
436	#000000
437	#000000
438	#000000
439	#000000
440	#000000
441	#000000
442	#000000
443	#000000
444	#000000
445	#000000
446	#000000
447	#000000
448	#000000
449	#000000
450	#000000
451	#000000
452	#000000
453	#000000
454	#000000
455	#000000
456	#000000
457	#000000
458	#000000
459	#000000
460	#000000
461	#000000
462	#000000
463	#000000
464	#000000
465	#000000
466	#000000
467	#000000
468	#000000
469	#000000
470	#000000
471	#000000
472	#000000
473	#000000
474	#000000
475	#000000
476	#000000
477	#000000
478	#000000
479	#000000
480	#000000
481	#000000
482	#000000
483	#000000
484	#000000
485	#000000
486	#000000
487	#000000
488	#000000
489	#000000
490	#000000
491	#000000
492	#000000
493	#000000
494	#000000
495	#000000
496	#000000
497	#000000
498	#000000
499	#000000
500	#000000
501	#000000
502	#000000
503	#000000
504	#000000
505	#000000
506	#000000
507	#000000
508	#000000
509	#000000
510	#000000
511	#000000
512	#000000
513	#000000
514	#000000
515	#000000
516	#000000
517	#000000
518	#000000
519	#000000
520	#000000
521	#000000
522	#000000
523	#000000
524	#000000
525	#000000
526	#000000
527	#000000
528	#000000
529	#000000
530	#000000
531	#000000
532	#000000
533	#000000
534	#000000
535	#000000
536	#000000
537	#000000
538	#000000
539	#000000
540	#000000
541	#000000
542	#000000
543	#000000
544	#000000
545	#000000
546	#000000
547	#000000
548	#000000
549	#000000
550	#000000
551	#000000
552	#000000
553	#000000
554	#000000
555	#000000
556	#000000
557	#000000
558	#000000
559	#000000
560	#000000
561	#000000
562	#000000
563	#000000
564	#000000
565	#000000
566	#000000
567	#000000
568	#000000
569	#000000
570	#000000
571	#000000
572	#000000
573	#000000
574	#000000
575	#000000
576	#000000
577	#000000
578	#000000
579	#000000
580	#000000
581	#000000
582	#000000
583	#000000
584	#000000
585	#000000
586	#000000
587	#000000
588	#000000
589	#000000
590	#000000
591	#000000
592	#000000
593	#000000
594	#000000
595	#000000
596	#000000
597	#000000
598	#000000
599	#000000
600	#000000
601	#000000
602	#000000
603	#000000
604	#000000
605	#000000
606	#000000
607	#000000
608	#000000
609	#000000
610	#000000
611	#000000
612	#000000
613	#000000
614	#000000
615	#000000
616	#000000
617	#000000
618	#000000
619	#000000
620	#000000
621	#000000
622	#000000
623	#000000
624	#000000
625	#000000
626	#000000
627	#000000
628	#000000
629	#000000
630	#000000
631	#000000
632	#000000
633	#000000
634	#000000
635	#000000
636	#000000
637	#000000
638	#000000
639	#000000
640	#000000
641	#000000
642	#000000
643	#000000
644	#000000
645	#000000
646	#000000
647	#000000
648	#000000
649	#000000
650	#000000
651	#000000
652	#000000
653	#000000
654	#000000
655	#000000
656	#000000
657	#000000
658	#000000
659	#000000
660	#000000
661	#000000
662	#000000
663	#000000
664	#000000
665	#000000
666	#000000
667	#000000
668	#000000
669	#000000
670	#000000
671	#000000
672	#000000
673	#000000
674	#000000
675	#000000
676	#000000
677	#000000
678	#000000
679	#000000
680	#000000
681	#000000
682	#000000
683	#000000
684	#000000
685	#000000
686	#000000
687	#000000
688	#000000
689	#000000
690	#000000
691	#000000
692	#000000
693	#000000
694	#000000
695	#000000
696	#000000
697	#000000
698	#000000
699	#000000
700	#000000
701	#000000
702	#000000
703	#000000
704	#000000
705	#000000
706	#000000
707	#000000
708	#000000
709	#000000
710	#000000
711	#000000
712	#000000
713	#000000
714	#000000
715	#000000
716	#000000
717	#000000
718	#000000
719	#000000
720	#000000
721	#000000
722	#000000
723	#000000
724	#000000
725	#000000
726	#000000
727	#000000
728	#000000
729	#000000
730	#000000
731	#000000
732	#000000
733	#000000
734	#000000
735	#000000
736	#000000
737	#000000
738	#000000
739	#000000
740	#000000
741	#000000
742	#000000
743	#000000
744	#000000
745	#000000
746	#000000
747	#000000
748	#000000
749	#000000
750	#000000
751	#000000
752	#000000
753	#000000
754	#000000
755	#000000
756	#000000
757	#000000
758	#000000
759	#000000
760	#000000
761	#000000
762	#000000
763	#000000
764	#000000
765	#000000
766	#000000
767	#000000
768	#000000
769	#000000
770	#000000
771	#000000
772	#000000
773	#000000
774	#000000
775	#000000
776	#000000
777	#000000
778	#000000
779	#000000
780	#000000
781	#000000
782	#000000
783	#000000
784	#000000
785	#000000
786	#000000
787	#000000
788	#000000
789	#000000
790	#000000
791	#000000
792	#000000
793	#000000
794	#000000
795	#000000
796	#000000
797	#000000
798	#000000
799	#000000
800	#ecebea
801	#9c948f
802	#786958
803	#584d45
804	#c5a080
805	#b08053
806	#865f3b
807	#694200
808	#e8e2b9
809	#d8ce88
810	#e7c46e
811	#b5a13d
812	#dadcc5
813	#bfc39d
814	#a6ac75
815	#5f6338
816	#ccdcc5
817	#a8c39d
818	#83ab75
819	#426342
820	#a1fae7
821	#78d3b5
822	#22978d
823	#005858
824	#bfd8fa
825	#82b5e7
826	#2e63bf
827	#224278
828	#c5c5dc
829	#9d9dc3
830	#7575ab
831	#494278
832	#dcc5dc
833	#c39dc3
834	#ab75ab
835	#784978
836	#e4bcbc
837	#d18f8f
838	#bf6060
839	#ce535f
840	#ffa682
841	#f58763
842	#c9634d
843	#973832
844	#fab06e
845	#e78d42
846	#bf5822
847	#823816
848	#ecebea
849	#9c948f
850	#786958
851	#584d45
852	#c5a080
853	#b08053
854	#865f3b
855	#694200
856	#e8e2b9
857	#d8ce88
858	#e7c46e
859	#b5a13d
860	#dadcc5
861	#bfc39d
862	#a6ac75
863	#5f6338
864	#ccdcc5
865	#a8c39d
866	#83ab75
867	#426342
868	#a1fae7
869	#78d3b5
870	#22978d
871	#005858
872	#bfd8fa
873	#82b5e7
874	#2e63bf
875	#224278
876	#c5c5dc
877	#9d9dc3
878	#7575ab
879	#494278
880	#dcc5dc
881	#c39dc3
882	#ab75ab
883	#784978
884	#e4bcbc
885	#d18f8f
886	#bf6060
887	#ce535f
888	#ffa682
889	#f58763
890	#c9634d
891	#973832
892	#fab06e
893	#e78d42
894	#bf5822
895	#823816
896	#fffefc
897	#ebe7e4
898	#d8d1cd
899	#c5bcb6
900	#b2a69d
901	#a08f84
902	#8d786c
903	#756358
904	#fefefc
905	#ebe9e4
906	#d8d4cd
907	#c5c1b6
908	#b2ae9d
909	#a09a84
910	#8d846c
911	#756d58
912	#fdfcff
913	#ebe4e7
914	#d8cdd0
915	#c5b6ba
916	#b29da3
917	#a0848c
918	#8d6c75
919	#755860
920	#ffcb98
921	#f2b786
922	#e0a77a
923	#cd976e
924	#bc865d
925	#a5704b
926	#905b38
927	#784d32
928	#ffdaa4
929	#fdc492
930	#e6af80
931	#d4a073
932	#c19363
933	#ae8053
934	#996e42
935	#805b38
936	#ffd1a1
937	#f8bd91
938	#e8aa82
939	#d19573
940	#b97d5f
941	#a66851
942	#915340
943	#774232
944	#000000
945	#000000
946	#000000
947	#000000
948	#000000
949	#000000
950	#000000
951	#000000
952	#000000
953	#000000
954	#000000
955	#000000
956	#000000
957	#000000
958	#000000
959	#000000
960	#000000
961	#000000
962	#000000
963	#000000
964	#000000
965	#000000
966	#000000
967	#000000
968	#000000
969	#000000
970	#000000
971	#000000
972	#000000
973	#000000
974	#000000
975	#000000
976	#000000
977	#000000
978	#000000
979	#000000
980	#000000
981	#000000
982	#000000
983	#000000
984	#000000
985	#000000
986	#000000
987	#000000
988	#000000
989	#000000
990	#000000
991	#000000
992	#000000
993	#000000
994	#000000
995	#000000
996	#000000
997	#000000
998	#000000
999	#000000
