#ID	hair	face	body	tier	monster
99	0	0	0	0	FALSE
100	0	0	0	0	FALSE
101	0	0	0	0	FALSE
102	0	0	0	0	FALSE
103	0	0	0	0	FALSE
105	7	7	62	3	FALSE
106	32	9	69	3	FALSE
107	16	12	162	3	FALSE
108	0	0	0	0	FALSE
109	0	0	0	0	FALSE
110	37	28	132	3	FALSE
111	10	8	68	3	FALSE
112	0	0	0	0	FALSE
113	0	0	0	0	FALSE
114	0	0	0	0	FALSE
115	0	0	0	0	FALSE
116	37	28	132	3	FALSE
117	0	0	268	3	TRUE
118	0	0	0	0	FALSE
119	32	31	160	2	FALSE
120	0	0	304	3	TRUE
121	0	0	301	3	TRUE
122	0	0	301	3	TRUE
123	0	0	0	0	FALSE
124	0	0	304	3	TRUE
125	0	0	304	3	TRUE
126	0	0	354	3	TRUE
127	0	0	320	3	TRUE
128	0	0	200	3	TRUE
129	0	0	129	3	TRUE
130	0	0	298	3	TRUE
131	0	0	307	3	TRUE
132	0	0	307	3	TRUE
133	0	0	0	0	FALSE
134	0	0	221	3	TRUE
135	0	0	221	3	TRUE
136	0	0	0	0	FALSE
137	0	0	0	0	FALSE
138	0	0	0	0	FALSE
139	0	0	0	0	FALSE
140	0	0	0	0	FALSE
141	0	0	0	0	FALSE
142	0	0	0	0	FALSE
143	0	0	0	0	FALSE
144	0	0	0	0	FALSE
145	0	0	0	0	FALSE
146	0	0	293	3	TRUE
147	0	0	0	0	FALSE
148	0	0	292	3	TRUE
149	0	0	291	3	TRUE
150	0	0	292	3	TRUE
151	0	0	292	3	TRUE
152	0	0	0	0	FALSE
153	0	0	292	3	TRUE
154	0	0	292	3	TRUE
155	32	31	160	2	FALSE
156	32	31	160	2	FALSE
157	32	31	160	2	FALSE
158	32	31	160	2	FALSE
159	32	31	160	2	FALSE
160	32	31	160	2	FALSE
161	32	31	160	2	FALSE
162	32	31	160	2	FALSE
163	32	31	160	2	FALSE
164	0	0	0	0	FALSE
165	0	0	292	3	TRUE
166	0	0	292	3	TRUE
167	0	0	0	0	FALSE
168	0	0	0	0	FALSE
169	0	0	200	1	TRUE
170	0	0	0	0	FALSE
171	0	0	311	1	TRUE
172	0	0	0	0	FALSE
173	0	0	240	1	TRUE
174	0	0	0	0	FALSE
175	0	0	266	1	TRUE
176	0	0	287	1	TRUE
177	0	0	339	1	TRUE
178	0	0	244	1	TRUE
179	0	0	239	1	TRUE
180	0	0	0	0	FALSE
182	0	0	0	0	FALSE
183	0	0	0	0	FALSE
184	0	0	0	0	FALSE
186	18	16	139	3	FALSE
188	0	0	0	0	FALSE
190	0	0	0	0	FALSE
191	32	31	160	2	FALSE
197	0	0	0	0	FALSE
198	0	0	0	0	FALSE
199	0	0	0	0	FALSE
200	0	0	0	0	FALSE
201	0	0	0	0	FALSE
202	0	0	0	0	FALSE
211	0	0	0	0	FALSE
212	0	0	0	0	FALSE
213	0	0	0	0	FALSE
214	64	18	66	2	FALSE
215	66	18	66	2	FALSE
216	65	17	66	2	FALSE
217	67	19	161	3	FALSE
218	0	0	327	3	TRUE
220	0	0	0	0	FALSE
221	0	0	248	3	TRUE
222	0	0	292	3	TRUE
223	0	0	292	3	TRUE
225	0	0	0	0	FALSE
229	0	0	0	0	FALSE
230	0	0	0	0	FALSE
231	0	0	0	0	FALSE
232	0	0	0	0	FALSE
233	0	0	0	0	FALSE
234	0	0	0	0	FALSE
235	0	0	0	0	FALSE
236	0	0	0	0	FALSE
237	0	0	0	0	FALSE
238	0	0	0	0	FALSE
239	0	0	0	0	FALSE
240	0	0	0	0	FALSE
241	0	0	0	0	FALSE
243	0	0	0	0	FALSE
244	0	0	0	0	FALSE
245	0	0	0	0	FALSE
246	0	0	0	0	FALSE
247	0	0	0	0	FALSE
248	0	0	0	0	FALSE
250	0	0	0	0	FALSE
251	0	0	0	0	FALSE
252	0	0	0	0	FALSE
253	0	0	0	0	FALSE
254	0	0	0	0	FALSE
255	0	0	0	0	FALSE
256	12	10	71	3	FALSE
257	43	29	140	3	FALSE
258	38	16	136	3	FALSE
259	0	0	0	0	FALSE
260	0	0	0	0	FALSE
261	0	0	0	0	FALSE
262	20	16	146	3	FALSE
263	32	28	148	2	FALSE
264	0	0	0	0	FALSE
265	19	14	131	3	FALSE
266	18	17	105	2	FALSE
267	22	12	103	2	FALSE
268	0	0	0	0	FALSE
269	13	17	72	3	FALSE
270	0	0	0	0	FALSE
271	0	0	0	0	FALSE
272	0	0	0	0	FALSE
273	0	0	0	0	FALSE
274	0	0	0	0	FALSE
276	24	12	104	2	FALSE
277	24	13	104	2	FALSE
278	24	14	104	2	FALSE
279	68	15	104	2	FALSE
280	25	17	105	2	FALSE
281	25	18	105	2	FALSE
282	24	13	104	2	FALSE
283	24	14	104	2	FALSE
285	25	17	105	2	FALSE
286	0	0	0	0	FALSE
290	0	0	292	3	TRUE
291	0	0	292	3	TRUE
292	0	0	248	3	TRUE
293	0	0	248	3	TRUE
294	0	0	248	3	TRUE
295	4	4	52	1	FALSE
296	0	0	401	1	TRUE
297	0	0	403	1	TRUE
299	17	13	141	2	FALSE
300	14	14	142	2	FALSE
301	0	0	0	0	FALSE
302	0	0	311	3	TRUE
303	0	0	0	0	FALSE
304	0	0	0	0	FALSE
305	32	31	160	2	FALSE
306	32	31	160	2	FALSE
307	32	31	160	2	FALSE
308	32	31	160	2	FALSE
309	32	31	160	2	FALSE
311	32	31	160	2	FALSE
335	26	12	107	2	FALSE
336	26	14	107	2	FALSE
337	27	17	109	2	FALSE
338	27	18	109	2	FALSE
345	32	31	160	2	FALSE
346	0	0	371	1	TRUE
347	0	0	0	0	FALSE
348	0	0	376	3	TRUE
353	0	0	0	0	FALSE
355	0	0	0	0	FALSE
356	0	0	0	0	FALSE
363	0	0	0	0	FALSE
364	0	0	0	0	FALSE
365	24	14	104	2	FALSE
369	25	17	105	2	FALSE
370	61	12	145	2	FALSE
371	63	17	147	2	FALSE
372	60	12	144	2	FALSE
373	60	13	144	2	FALSE
377	0	0	279	3	TRUE
378	0	0	381	3	TRUE
380	0	0	0	0	FALSE
381	0	0	0	0	FALSE
382	0	0	0	0	FALSE
383	0	0	0	0	FALSE
384	0	0	0	0	FALSE
385	0	0	0	0	FALSE
386	0	0	0	0	FALSE
387	0	0	0	0	FALSE
388	0	0	0	0	FALSE
389	0	0	0	0	FALSE
390	0	0	0	0	FALSE
391	0	0	0	0	FALSE
392	0	0	0	0	FALSE
393	0	0	0	0	FALSE
394	0	0	0	0	FALSE
395	0	0	0	0	FALSE
396	0	0	200	3	TRUE
397	0	0	307	3	TRUE
398	0	0	0	0	FALSE
399	0	0	0	0	FALSE
400	0	0	0	0	FALSE
401	0	0	0	0	FALSE
402	0	0	0	0	FALSE
403	0	0	0	0	FALSE
404	0	0	0	0	FALSE
406	0	0	0	0	FALSE
408	0	0	0	0	FALSE
409	0	0	0	0	FALSE
410	0	0	0	0	FALSE
411	0	0	0	0	FALSE
412	0	0	0	0	FALSE
415	0	0	0	0	FALSE
416	0	0	0	0	FALSE
417	0	0	0	0	FALSE
441	0	0	0	0	FALSE
442	0	0	0	0	FALSE
443	0	0	0	0	FALSE
444	0	0	0	0	FALSE
445	0	0	0	0	FALSE
446	0	0	0	0	FALSE
447	0	0	0	0	FALSE
448	0	0	0	0	FALSE
451	0	0	0	0	FALSE
452	0	0	0	0	FALSE
453	0	0	0	0	FALSE
454	0	0	0	0	FALSE
455	0	0	311	3	TRUE
456	0	0	311	3	TRUE
457	0	0	0	0	FALSE
458	0	0	0	0	FALSE
459	0	0	0	0	FALSE
460	39	18	138	2	FALSE
461	26	13	107	2	FALSE
462	16	14	75	2	FALSE
463	27	18	109	2	FALSE
464	20	17	87	2	FALSE
465	17	15	88	2	FALSE
466	22	12	99	2	FALSE
467	20	18	88	2	FALSE
468	65	18	66	2	FALSE
471	14	13	76	2	FALSE
477	0	0	0	0	FALSE
478	0	0	0	0	FALSE
483	0	0	0	0	FALSE
484	0	0	0	0	FALSE
488	0	0	0	0	FALSE
494	0	0	0	0	FALSE
499	0	0	0	0	FALSE
500	0	0	0	0	FALSE
501	0	0	0	0	FALSE
503	0	0	0	0	FALSE
504	0	0	0	0	FALSE
505	0	0	0	0	FALSE
506	0	0	0	0	FALSE
507	0	0	0	0	FALSE
508	0	0	0	0	FALSE
509	0	0	0	0	FALSE
510	0	0	0	0	FALSE
512	0	0	202	3	TRUE
513	0	0	0	0	FALSE
514	0	0	306	3	TRUE
515	0	0	305	2	TRUE
516	0	0	305	2	TRUE
517	0	0	321	3	TRUE
518	0	0	303	3	TRUE
519	0	0	307	3	TRUE
520	0	0	308	2	TRUE
521	0	0	308	2	TRUE
522	0	0	308	2	TRUE
523	0	0	308	2	TRUE
524	0	0	304	3	TRUE
525	0	0	200	2	TRUE
526	0	0	200	2	TRUE
527	0	0	206	2	TRUE
528	0	0	275	2	TRUE
529	0	0	269	2	TRUE
530	0	0	372	2	TRUE
531	0	0	0	0	FALSE
532	0	0	275	2	TRUE
533	0	0	533	3	TRUE
534	0	0	0	0	FALSE
541	0	0	279	0	TRUE
542	0	0	0	0	FALSE
578	0	0	200	2	TRUE
579	0	0	200	2	TRUE
580	0	0	308	2	TRUE
581	0	0	252	2	TRUE
582	0	0	269	2	TRUE
583	0	0	305	2	TRUE
584	0	0	297	2	TRUE
638	0	0	0	0	FALSE
639	0	0	0	0	FALSE
640	62	18	146	2	TRUE
641	62	18	146	2	TRUE
648	0	0	0	0	FALSE
649	0	0	0	0	FALSE
650	0	0	0	0	FALSE
651	0	0	0	0	FALSE
652	0	0	0	0	FALSE
653	0	0	0	0	FALSE
654	0	0	0	0	FALSE
655	0	0	0	0	FALSE
656	0	0	0	0	FALSE
657	0	0	0	0	FALSE
658	0	0	0	0	FALSE
659	0	0	0	0	FALSE
660	0	0	0	0	FALSE
661	0	0	0	0	FALSE
662	0	0	0	0	FALSE
663	0	0	0	0	FALSE
664	0	0	0	0	FALSE
665	0	0	0	0	FALSE
666	0	0	0	0	FALSE
667	0	0	0	0	FALSE
668	0	0	0	0	FALSE
669	32	24	105	3	FALSE
670	0	0	0	0	FALSE
671	0	0	0	0	FALSE
672	0	0	0	0	FALSE
673	0	0	0	0	FALSE
674	0	0	0	0	FALSE
675	0	0	0	0	FALSE
676	0	0	0	0	FALSE
677	0	0	0	0	FALSE
678	0	0	0	0	FALSE
679	0	0	0	0	FALSE
680	0	0	0	0	FALSE
681	0	0	0	0	FALSE
682	0	0	0	0	FALSE
683	0	0	0	0	FALSE
684	0	0	0	0	FALSE
685	0	0	0	0	FALSE
686	0	0	0	0	FALSE
687	0	0	0	0	FALSE
688	0	0	0	0	FALSE
689	0	0	0	0	FALSE
690	0	0	0	0	FALSE
691	0	0	0	0	FALSE
692	0	0	0	0	FALSE
693	0	0	0	0	FALSE
694	0	0	0	0	FALSE
695	0	0	0	0	FALSE
696	0	0	0	0	FALSE
697	0	0	0	0	FALSE
698	0	0	0	0	FALSE
699	0	0	0	0	FALSE
700	0	0	0	0	FALSE
701	0	0	0	0	FALSE
702	0	0	0	0	FALSE
703	0	0	0	0	FALSE
704	0	0	0	0	FALSE
731	0	0	0	0	FALSE
732	0	0	0	0	FALSE
733	0	0	292	3	TRUE
737	0	0	0	0	FALSE
738	0	0	0	0	FALSE
739	0	0	0	0	FALSE
740	0	0	0	0	FALSE
741	0	0	0	0	FALSE
742	0	0	0	0	FALSE
743	0	0	0	0	FALSE
744	0	0	0	0	FALSE
745	0	0	0	0	FALSE
746	0	0	381	3	TRUE
747	0	0	0	0	FALSE
748	0	0	0	0	FALSE
749	0	0	0	0	FALSE
750	0	0	0	0	FALSE
751	0	0	0	0	FALSE
752	0	0	0	0	FALSE
753	0	0	0	0	FALSE
754	0	0	0	0	FALSE
755	0	0	0	0	FALSE
756	0	0	376	3	TRUE
757	0	0	0	0	FALSE
758	0	0	0	0	FALSE
759	0	0	0	0	FALSE
760	0	0	0	0	FALSE
761	0	0	0	0	FALSE
762	0	0	0	0	FALSE
763	0	0	0	0	FALSE
764	0	0	252	2	TRUE
765	0	0	308	2	TRUE
766	0	0	252	2	TRUE
767	0	0	0	0	FALSE
768	0	0	0	0	FALSE
769	0	0	0	0	FALSE
808	0	0	201	3	TRUE
809	0	0	0	0	FALSE
810	0	0	0	0	FALSE
811	0	0	220	1	TRUE
812	0	0	241	1	TRUE
813	0	0	254	1	TRUE
814	0	0	0	0	FALSE
815	0	0	268	1	TRUE
816	0	0	267	1	TRUE
817	0	0	245	1	TRUE
818	0	0	343	1	TRUE
845	0	0	0	0	FALSE
846	0	0	0	0	FALSE
847	0	0	0	0	FALSE
848	0	0	0	0	FALSE
849	0	0	0	0	FALSE
886	3	3	50	3	FALSE
889	86	34	178	3	FALSE
890	32	28	132	3	FALSE
895	0	0	0	0	FALSE
